period,gcm_rcp,Date,Precipitation,TempMin,TempMean,TempMax,Radiation,Windspeed,RH,RefET,Gridcell
0,0_0,1980-01-01,2.4,-1.23,3.37,7.97,6100.0,1.874988,58.2,1.53126944224,C0108R72
0,0_0,1980-01-02,12.2,-1.33,2.97,7.27,5400.0,2.766186,57.15,1.49551618333,C0108R72
0,0_0,1980-01-03,0.0,-1.83,2.87,7.57,6200.0,1.874988,45.1,1.52535505961,C0108R72
0,0_0,1980-01-04,0.0,-1.83,0.97,3.77,4100.0,0.972216,76.8,0.845358730934,C0108R72
0,0_0,1980-01-05,13.3,0.37,1.97,3.57,2700.0,1.192122,89.75,0.597713406832,C0108R72
0,0_0,1980-01-06,0.0,-0.63,3.22,7.07,5800.0,1.04166,78.95,1.27851360778,C0108R72
0,0_0,1980-01-07,0.0,-1.33,2.32,5.97,5400.0,0.972216,79.7,1.14996049617,C0108R72
0,0_0,1980-01-08,0.8,-2.13,1.47,5.07,6200.0,0.902772,79.8,1.21873431363,C0108R72
0,0_0,1980-01-09,0.0,-0.93,1.27,3.47,3600.0,1.493046,84.0,0.786621828126,C0108R72
0,0_0,1980-01-10,0.0,0.27,3.17,6.07,5800.0,2.395818,75.25,1.31453597651,C0108R72
0,0_0,1980-01-11,0.0,-1.83,1.17,4.17,4900.0,3.58794,70.5,1.19067939446,C0108R72
0,0_0,1980-01-12,0.1,-2.53,-0.03,2.47,4100.0,3.969882,69.8,0.980920674591,C0108R72
0,0_0,1980-01-13,0.0,-1.73,2.07,5.87,5600.0,3.888864,72.25,1.47941441181,C0108R72
0,0_0,1980-01-14,5.8,-3.03,0.12,3.27,4900.0,4.039326,81.6,1.18225068504,C0108R72
0,0_0,1980-01-15,22.0,0.07,2.37,4.67,2700.0,4.710618,86.0,0.952545615182,C0108R72
0,0_0,1980-01-16,0.3,2.97,5.32,7.67,4700.0,1.342584,84.25,1.09919578183,C0108R72
0,0_0,1980-01-17,1.9,3.37,5.62,7.87,4700.0,2.766186,81.35,1.20869411961,C0108R72
0,0_0,1980-01-18,0.4,2.67,4.77,6.87,4300.0,3.888864,77.3,1.14660828587,C0108R72
0,0_0,1980-01-19,0.0,3.17,6.07,8.97,6000.0,2.916648,75.6,1.54450878066,C0108R72
0,0_0,1980-01-20,1.0,3.67,6.72,9.77,5100.0,0.671292,77.65,1.19456919012,C0108R72
0,0_0,1980-01-21,7.2,2.67,5.37,8.07,4900.0,0.451386,84.35,1.0546238818,C0108R72
0,0_0,1980-01-22,40.8,2.67,4.72,6.77,3400.0,1.342584,87.55,0.837115016074,C0108R72
0,0_0,1980-01-23,1.0,4.77,7.32,9.87,6300.0,2.696742,85.25,1.57975389133,C0108R72
0,0_0,1980-01-24,0.4,5.67,8.22,10.77,5400.0,0.972216,85.35,1.31925287638,C0108R72
0,0_0,1980-01-25,0.0,5.57,8.82,12.07,7500.0,1.423602,82.2,1.86709424894,C0108R72
0,0_0,1980-01-26,0.0,2.77,5.12,7.47,4100.0,1.342584,86.05,0.994589378691,C0108R72
0,0_0,1980-01-27,0.0,0.07,5.52,10.97,8400.0,1.27314,70.65,2.0035922235,C0108R72
0,0_0,1980-01-28,0.8,-0.13,4.82,9.77,8300.0,0.601848,75.0,1.77082987167,C0108R72
0,0_0,1980-01-29,0.8,3.07,5.37,7.67,3900.0,0.52083,86.3,0.862291704797,C0108R72
0,0_0,1980-01-30,2.2,3.77,6.07,8.37,4600.0,0.370368,86.35,0.994497063311,C0108R72
0,0_0,1980-01-31,31.8,4.97,6.82,8.67,4300.0,3.368034,88.75,1.16052995191,C0108R72
